dt (s),tempo_final (s),erro_relativo
0.0010,45.1540,0.0000
0.0020,45.1540,0.0000
0.0030,45.1530,0.0000
0.0040,45.1520,0.0000
0.0050,45.1550,0.0000
0.0060,45.1560,0.0001
0.0070,45.1570,0.0001
0.0080,45.1520,0.0000
0.0090,45.1530,0.0000
0.0100,45.1500,0.0001
0.0110,45.1550,0.0000
0.0120,45.1560,0.0001
0.0130,45.1490,0.0001
0.0140,45.1500,0.0001
0.0150,45.1500,0.0001
0.0160,45.1520,0.0000
0.0170,45.1520,0.0000
0.0180,45.1620,0.0002
0.0190,45.1630,0.0002
0.0200,45.1600,0.0001
0.0210,45.1500,0.0001
0.0220,45.1440,0.0002
0.0230,45.1490,0.0001
0.0240,45.1440,0.0002
0.0250,45.1500,0.0001
0.0260,45.1620,0.0002
0.0270,45.1440,0.0002
0.0280,45.1640,0.0002
0.0290,45.1530,0.0000
0.0300,45.1500,0.0001
0.0310,45.1670,0.0003
0.0320,45.1520,0.0000
0.0330,45.1440,0.0002
0.0340,45.1520,0.0000
0.0350,45.1500,0.0001
0.0360,45.1440,0.0002
0.0370,45.1400,0.0003
0.0380,45.1440,0.0002
0.0390,45.1620,0.0002
0.0400,45.1600,0.0001
0.0410,45.1410,0.0003
0.0420,45.1500,0.0001
0.0430,45.1500,0.0001
0.0440,45.1440,0.0002
0.0450,45.1350,0.0004
0.0460,45.1720,0.0004
0.0470,45.1670,0.0003
0.0480,45.1680,0.0003
0.0490,45.1780,0.0005
0.0500,45.1500,0.0001
0.0510,45.1350,0.0004
0.0520,45.1360,0.0004
0.0530,45.1560,0.0001
0.0540,45.1440,0.0002
0.0550,45.1550,0.0000
0.0560,45.1360,0.0004
0.0570,45.1440,0.0002
0.0580,45.1820,0.0006
0.0590,45.1350,0.0004
0.0600,45.1800,0.0006
0.0610,45.1400,0.0003
0.0620,45.1360,0.0004
0.0630,45.1710,0.0004
0.0640,45.1840,0.0007
0.0650,45.1750,0.0005
0.0660,45.1440,0.0002
0.0670,45.1580,0.0001
0.0680,45.1520,0.0000
0.0690,45.1260,0.0006
0.0700,45.1500,0.0001
0.0710,45.1560,0.0001
0.0720,45.1440,0.0002
0.0730,45.1870,0.0007
0.0740,45.1400,0.0003
0.0750,45.1500,0.0001
0.0760,45.1440,0.0002
0.0770,45.1220,0.0007
0.0780,45.1620,0.0002
0.0790,45.1880,0.0008
0.0800,45.1200,0.0007
0.0810,45.1170,0.0008
0.0820,45.1820,0.0006
0.0830,45.1520,0.0000
0.0840,45.1920,0.0009
0.0850,45.1350,0.0004
0.0860,45.1500,0.0001
0.0870,45.1530,0.0000
0.0880,45.1440,0.0002
0.0890,45.1230,0.0007
0.0900,45.1800,0.0006
0.0910,45.1360,0.0004
0.0920,45.1720,0.0004
0.0930,45.1980,0.0010
0.0940,45.1200,0.0007
0.0950,45.1250,0.0006
0.0960,45.1200,0.0007
0.0970,45.2020,0.0011
0.0980,45.1780,0.0005
0.0990,45.1440,0.0002
0.1000,45.2000,0.0010
0.1010,45.1470,0.0001
0.1020,45.1860,0.0007
0.1030,45.1140,0.0009
0.1040,45.1360,0.0004
0.1050,45.1500,0.0001
0.1060,45.1560,0.0001
0.1070,45.1540,0.0000
0.1080,45.1440,0.0002
0.1090,45.1260,0.0006
0.1100,45.1000,0.0012
0.1110,45.1770,0.0005
0.1120,45.1360,0.0004
0.1130,45.2000,0.0010
0.1140,45.1440,0.0002
0.1150,45.1950,0.0009
0.1160,45.1240,0.0007
0.1170,45.1620,0.0002
0.1180,45.1940,0.0009
0.1190,45.1010,0.0012
0.1200,45.1200,0.0007
0.1210,45.1330,0.0005
0.1220,45.1400,0.0003
0.1230,45.1410,0.0003
0.1240,45.1360,0.0004
0.1250,45.1250,0.0006
0.1260,45.1080,0.0010
0.1270,45.2120,0.0013
0.1280,45.1840,0.0007
0.1290,45.1500,0.0001
0.1300,45.1100,0.0010
0.1310,45.1950,0.0009
0.1320,45.1440,0.0002
0.1330,45.2200,0.0015
0.1340,45.1580,0.0001
0.1350,45.0900,0.0014
0.1360,45.1520,0.0000
0.1370,45.2100,0.0013
0.1380,45.1260,0.0006
0.1390,45.1750,0.0005
0.1400,45.2200,0.0015
0.1410,45.1200,0.0007
0.1420,45.1560,0.0001
0.1430,45.1880,0.0008
0.1440,45.2160,0.0014
0.1450,45.0950,0.0013
0.1460,45.1140,0.0009
0.1470,45.1290,0.0005
0.1480,45.1400,0.0003
0.1490,45.1470,0.0001
0.1500,45.1500,0.0001
0.1510,45.1490,0.0001
0.1520,45.1440,0.0002
0.1530,45.1350,0.0004
0.1540,45.1220,0.0007
0.1550,45.1050,0.0011
0.1560,45.0840,0.0015
0.1570,45.2160,0.0014
0.1580,45.1880,0.0008
0.1590,45.1560,0.0001
0.1600,45.1200,0.0007
0.1610,45.0800,0.0016
0.1620,45.1980,0.0010
0.1630,45.1510,0.0001
0.1640,45.1000,0.0012
0.1650,45.2100,0.0013
0.1660,45.1520,0.0000
0.1670,45.0900,0.0014
0.1680,45.1920,0.0009
0.1690,45.1230,0.0007
0.1700,45.2200,0.0015
0.1710,45.1440,0.0002
0.1720,45.2360,0.0018
0.1730,45.1530,0.0000
0.1740,45.2400,0.0019
0.1750,45.1500,0.0001
0.1760,45.2320,0.0017
0.1770,45.1350,0.0004
0.1780,45.2120,0.0013
0.1790,45.1080,0.0010
0.1800,45.1800,0.0006
0.1810,45.0690,0.0019
0.1820,45.1360,0.0004
0.1830,45.2010,0.0011
0.1840,45.0800,0.0016
0.1850,45.1400,0.0003
0.1860,45.1980,0.0010
0.1870,45.0670,0.0019
0.1880,45.1200,0.0007
0.1890,45.1710,0.0004
0.1900,45.2200,0.0015
0.1910,45.0760,0.0017
0.1920,45.1200,0.0007
0.1930,45.1620,0.0002
0.1940,45.2020,0.0011
0.1950,45.2400,0.0019
0.1960,45.0800,0.0016
0.1970,45.1130,0.0009
0.1980,45.1440,0.0002
0.1990,45.1730,0.0004
0.2000,45.2000,0.0010
