tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
0.3162,9999.0190,-3.1022,-9.8100
0.6325,9997.0598,-6.1956,-9.7823
0.9487,9994.1306,-9.2629,-9.6995
1.2649,9990.2451,-12.2870,-9.5630
1.5811,9985.4221,-15.2517,-9.3754
1.8974,9979.6850,-18.1422,-9.1404
2.2136,9973.0617,-20.9447,-8.8625
2.5298,9965.5837,-23.6476,-8.5471
2.8460,9957.2857,-26.2407,-8.2002
3.1623,9948.2049,-28.7161,-7.8278
3.4785,9938.3804,-31.0676,-7.4361
3.7947,9927.8529,-33.2911,-7.0314
4.1110,9916.6633,-35.3844,-6.6195
4.4272,9904.8533,-37.3468,-6.2056
4.7434,9892.4637,-39.1792,-5.7948
5.0596,9879.5350,-40.8841,-5.3911
5.3759,9866.1065,-42.4646,-4.9982
5.6921,9852.2161,-43.9252,-4.6189
6.0083,9837.9002,-45.2710,-4.2557
6.3246,9823.1932,-46.5075,-3.9101
6.6408,9808.1279,-47.6407,-3.5834
6.9570,9792.7350,-48.6767,-3.2763
7.2732,9777.0432,-49.6219,-2.9890
7.5895,9761.0792,-50.4826,-2.7216
7.9057,9744.8679,-51.2648,-2.4735
8.2219,9728.4321,-51.9745,-2.2444
8.5381,9711.7930,-52.6176,-2.0335
8.8544,9694.9698,-53.1994,-1.8399
9.1706,9677.9804,-53.7251,-1.6626
9.4868,9660.8410,-54.1997,-1.5008
9.8031,9643.5662,-54.6277,-1.3533
10.1193,9626.1695,-55.0133,-1.2193
10.4355,9608.6630,-55.3604,-1.0976
10.7517,9591.0578,-55.6726,-0.9873
11.0680,9573.3638,-55.9532,-0.8875
11.3842,9555.5901,-56.2054,-0.7973
11.7004,9537.7448,-56.4317,-0.7159
12.0167,9519.8353,-56.6349,-0.6425
12.3329,9501.8681,-56.8172,-0.5764
12.6491,9483.8493,-56.9806,-0.5168
12.9653,9465.7841,-57.1271,-0.4633
13.2816,9447.6774,-57.2584,-0.4152
13.5978,9429.5335,-57.3760,-0.3719
13.9140,9411.3563,-57.4814,-0.3331
14.2302,9393.1492,-57.5757,-0.2983
14.5465,9374.9155,-57.6602,-0.2671
14.8627,9356.6578,-57.7358,-0.2390
15.1789,9338.3788,-57.8034,-0.2139
15.4952,9320.0806,-57.8639,-0.1914
15.8114,9301.7653,-57.9181,-0.1713
16.1276,9283.4347,-57.9665,-0.1532
16.4438,9265.0903,-58.0099,-0.1371
16.7601,9246.7337,-58.0487,-0.1226
17.0763,9228.3662,-58.0833,-0.1096
17.3925,9209.9888,-58.1143,-0.0980
17.7088,9191.6027,-58.1420,-0.0877
18.0250,9173.2087,-58.1668,-0.0784
18.3412,9154.8077,-58.1890,-0.0701
18.6574,9136.4005,-58.2088,-0.0627
18.9737,9117.9877,-58.2265,-0.0560
19.2899,9099.5698,-58.2424,-0.0501
19.6061,9081.1475,-58.2565,-0.0448
19.9223,9062.7211,-58.2692,-0.0400
