tempo,msd,msd_ajuste_potencia
0,0.0,nan
1,1.0,0.9260766783831296
2,1.6,1.873843994908501
3,1.0,2.829974656946217
4,1.6,3.791577305871841
5,2.6,4.757269487320578
6,4.0,5.726233194772263
7,5.8,6.697925991651385
8,5.2,7.671961222740075
9,5.8,8.64804907185508
10,5.6,9.625964101094787
11,5.8,10.605525873112725
12,7.2,11.586586657385363
13,7.4,12.569023249457121
14,5.6,13.5527313134702
15,6.6,14.537621343500637
16,7.2,15.523615702645749
17,7.4,16.51064640242101
18,7.6,17.4986534044489
19,8.2,18.487583299248012
20,12.4,19.4773882628528
21,11.4,20.468025221808762
22,15.2,21.45945517694731
23,14.6,22.451642649876028
24,14.0,23.444555225529847
25,17.0,24.438163170791363
26,20.8,25.432439113985158
27,24.2,26.427357773555798
28,22.0,27.42289572683528
29,24.2,28.419031211752895
30,21.6,29.41574395581775
31,21.0,30.413015027836995
32,22.0,31.410826708709784
33,18.6,32.40916237832253
34,20.0,33.40800641611089
35,22.6,34.407344113283116
36,24.0,35.407161595042595
37,29.0,36.407445751423914
38,26.0,37.40818417558119
39,25.0,38.40936510855063
40,26.0,39.410977389659
41,25.0,40.41301041187431
42,28.8,41.415454081497344
43,25.8,42.41829878167869
44,23.6,43.42153533931753
45,20.2,44.42515499495888
46,19.2,45.42914937535715
47,19.4,46.433510468416785
48,21.6,47.43823060025795
49,26.6,48.44330241418639
50,24.8,49.44871885137379
51,25.8,50.454473133077954
52,32.0,51.46055874425239
53,34.6,52.466969418411914
54,40.8,53.47369912363636
55,37.0,54.48074204960695
56,36.8,55.48809259558219
57,39.4,56.495745359229126
58,36.4,57.50369512623559
59,41.8,58.51193686063609
60,42.8,59.520465695790975
61,42.6,60.52927692596481
62,46.8,61.5383659984548
63,50.6,62.54772850622515
64,46.4,63.55736018100725
65,43.4,64.5672568868295
66,41.2,65.57741461394359
67,41.0,66.58782947311776
68,46.4,67.59849769026908
69,57.0,68.60941560141057
70,56.8,69.62057964788983
71,57.0,70.63198637189892
72,47.2,71.64363241223604
73,57.8,72.65551450030185
74,70.4,73.66762945631427
75,65.8,74.67997418572705
76,64.4,75.69254567583872
77,61.0,76.70534099257911
78,67.2,77.71835727746239
79,67.4,78.73159174469555
80,71.6,79.74504167843274
81,73.8,80.75870443016649
82,70.0,81.77257741624706
83,69.8,82.78665811552243
84,64.0,83.80094406709154
85,73.0,84.81543286816412
86,78.8,85.83012217202078
87,82.6,86.84500968606764
88,74.4,87.86009316998005
89,76.2,88.87537043393031
90,81.2,89.8908393368948
91,75.4,90.90649778503591
92,80.8,91.92234373015503
93,81.8,92.93837516821226
94,80.4,93.95459013790976
95,85.0,94.97098671933502
96,80.8,95.98756303266107
97,85.8,97.00431723690066
98,90.8,98.02124752871146
99,94.6,99.03835214125006
100,88.0,100.05562934307184
101,90.6,101.07307743707494
102,99.2,102.09069475948563
103,105.8,103.10847967888343
104,109.2,104.12643059526391
105,112.2,105.1445459391375
106,109.2,106.16282417066228
107,101.0,107.1812637788095
108,99.6,108.19986328056021
109,107.4,109.21862122013142
110,117.2,110.23753616823053
111,118.6,111.25660672133695
112,124.4,112.2758315010092
113,114.6,113.29520915321696
114,112.8,114.31473834769645
115,121.8,115.3344177773285
116,118.8,116.354246157538
117,125.0,117.37422222571406
118,131.6,118.39434474065001
119,145.0,119.41461248200208
120,150.0,120.43502424976643
121,154.6,121.45557886377335
122,163.6,122.47627516319828
123,172.2,123.49711200608867
124,180.0,124.51808826890621
125,176.2,125.53920284608387
126,165.2,126.56045464959675
127,156.2,127.5818426085469
128,153.6,128.60336566876094
129,165.8,129.62502279240005
130,159.6,130.64681295758245
