deslocamento_final,z_padronizado
-132.0,-1.32
68.0,0.68
22.0,0.22
32.0,0.32
-80.0,-0.8
222.0,2.22
-172.0,-1.72
74.0,0.74
60.0,0.6
-172.0,-1.72
-128.0,-1.28
-82.0,-0.82
28.0,0.28
-224.0,-2.24
-40.0,-0.4
202.0,2.02
-38.0,-0.38
56.0,0.56
100.0,1.0
14.0,0.14
-68.0,-0.68
-10.0,-0.1
-40.0,-0.4
16.0,0.16
-62.0,-0.62
-50.0,-0.5
-48.0,-0.48
-110.0,-1.1
-20.0,-0.2
-2.0,-0.02
-110.0,-1.1
124.0,1.24
-140.0,-1.4
20.0,0.2
-86.0,-0.86
86.0,0.86
32.0,0.32
22.0,0.22
-52.0,-0.52
-232.0,-2.32
24.0,0.24
0.0,0.0
66.0,0.66
-46.0,-0.46
-12.0,-0.12
-12.0,-0.12
-16.0,-0.16
-36.0,-0.36
-88.0,-0.88
138.0,1.38
-22.0,-0.22
-142.0,-1.42
66.0,0.66
34.0,0.34
96.0,0.96
-66.0,-0.66
66.0,0.66
2.0,0.02
-4.0,-0.04
-134.0,-1.34
76.0,0.76
10.0,0.1
54.0,0.54
-112.0,-1.12
0.0,0.0
74.0,0.74
-146.0,-1.46
40.0,0.4
-126.0,-1.26
56.0,0.56
-44.0,-0.44
-92.0,-0.92
80.0,0.8
-36.0,-0.36
-54.0,-0.54
-64.0,-0.64
52.0,0.52
-24.0,-0.24
68.0,0.68
-152.0,-1.52
-22.0,-0.22
134.0,1.34
106.0,1.06
34.0,0.34
128.0,1.28
-12.0,-0.12
18.0,0.18
-2.0,-0.02
-118.0,-1.18
-46.0,-0.46
40.0,0.4
106.0,1.06
2.0,0.02
192.0,1.92
70.0,0.7
6.0,0.06
-44.0,-0.44
-18.0,-0.18
62.0,0.62
-176.0,-1.76
18.0,0.18
-106.0,-1.06
-48.0,-0.48
-122.0,-1.22
-26.0,-0.26
-58.0,-0.58
156.0,1.56
36.0,0.36
62.0,0.62
-44.0,-0.44
