tempo,msd,msd_ajuste_potencia
0,0.0,nan
1,1.0,3.2155057089521986
2,2.0,5.563967817732587
3,3.4,7.66804837800087
4,2.4,9.627642019286535
5,3.4,11.486358978989031
6,5.2,13.268449277272813
7,5.0,14.989241607974572
8,5.2,16.65924280800479
9,4.2,18.286071072323466
10,6.8,19.875483823303263
11,8.2,21.43197310452528
12,7.6,22.95913347764503
13,8.2,24.45990114760189
14,10.4,25.936715859902893
15,9.8,27.391634259195133
16,10.0,28.826411532553642
17,13.0,30.242561640400005
18,15.2,31.641402680741162
19,17.8,33.0240916784675
20,17.6,34.39165169162757
21,18.6,35.74499323061262
22,16.8,37.08493139729074
23,18.6,38.41219975487918
24,16.4,39.72746166707018
25,16.2,41.03131965428687
26,18.0,42.32432317917569
27,24.2,43.606975175245466
28,25.2,44.87973756053418
29,27.4,46.14303592466517
30,28.0,47.39726353741292
31,35.4,48.64278479630885
32,39.2,49.87993820732734
33,37.8,51.10903897448387
34,40.4,52.3303812599392
35,47.4,53.54424016497812
36,43.6,54.75087347331424
37,54.6,55.95052319103757
38,58.0,57.143416911773635
39,59.4,58.32976903096474
40,54.4,59.50978182938408
41,45.0,60.68364644287766
42,50.4,61.85154373276045
43,49.0,63.01364506916391
44,54.0,64.17011303785992
45,55.4,65.32110207960346
46,64.0,66.46675906979101
47,69.0,67.60722384518081
48,68.0,68.74262968353183
49,70.6,69.87310374126169
50,65.2,70.99876745357834
51,65.0,72.11973690098897
52,72.0,73.23612314561365
53,80.2,74.34803254032416
54,82.0,75.45556701337411
55,81.8,76.5588243308807
56,87.2,77.65789833925272
57,80.2,78.75287918942682
58,85.6,79.84385354457235
59,93.8,80.93090477274689
60,89.6,82.01411312582934
61,96.2,83.09355590592013
62,100.4,84.16930762027698
63,101.8,85.24144012574844
64,94.8,86.31002276357182
65,82.6,87.3751224853191
66,83.2,88.4368039706989
67,87.4,89.49512973785671
68,77.2,90.55016024675534
69,82.6,91.60195399616546
70,77.6,92.65056761474767
71,77.8,93.69605594666535
72,80.0,94.73847213212889
73,89.0,95.77786768323772
74,80.4,96.81429255545497
75,85.0,97.84779521502224
76,95.2,98.87842270259551
77,90.6,99.90622069336153
78,87.6,100.93123355387189
79,87.4,101.95350439581419
80,98.8,102.97307512692174
81,89.8,103.98998649920794
82,92.8,105.00427815469733
83,94.6,106.01598866881193
84,96.8,107.02515559156011
85,104.2,108.03181548666377
86,105.6,109.03600396875048
87,99.4,110.0377557387271
88,106.8,111.03710461744436
89,113.0,112.03408357775258
90,103.6,113.02872477504341
91,96.2,114.02105957636465
92,105.6,115.01111858818983
93,101.0,115.9989316829188
94,96.4,116.98452802417998
95,96.2,117.96793609100112
96,101.2,118.94918370091004
97,102.6,119.9282980320237
98,95.6,120.90530564417973
99,99.4,121.88023249916125
100,98.0,122.85310398006273
101,98.6,123.82394490984143
102,94.4,124.79277956909678
103,101.8,125.75963171311632
104,95.2,126.72452458822632
105,89.0,127.68748094748075
106,80.0,128.64852306572234
107,73.8,129.60767275404598
108,77.2,130.56495137369365
109,73.8,131.5203798494085
110,80.4,132.47397868227364
111,83.4,133.42576796206012
112,81.6,134.37576737910695
113,83.4,135.32399623575552
114,91.6,136.27047345735787
115,89.0,137.21521760287936
116,85.2,138.15824687511343
