deslocamento_final,z_padronizado
74.0,0.74
4.0,0.04
42.0,0.42
-80.0,-0.8
-62.0,-0.62
60.0,0.6
90.0,0.9
-108.0,-1.08
-46.0,-0.46
-52.0,-0.52
-54.0,-0.54
62.0,0.62
74.0,0.74
134.0,1.34
86.0,0.86
-38.0,-0.38
46.0,0.46
194.0,1.94
-102.0,-1.02
22.0,0.22
206.0,2.06
-86.0,-0.86
-16.0,-0.16
-90.0,-0.9
-148.0,-1.48
8.0,0.08
-190.0,-1.9
-44.0,-0.44
34.0,0.34
98.0,0.98
-6.0,-0.06
12.0,0.12
36.0,0.36
-108.0,-1.08
-162.0,-1.62
-16.0,-0.16
-76.0,-0.76
4.0,0.04
38.0,0.38
-110.0,-1.1
-84.0,-0.84
104.0,1.04
-76.0,-0.76
162.0,1.62
82.0,0.82
80.0,0.8
10.0,0.1
70.0,0.7
220.0,2.2
-108.0,-1.08
-112.0,-1.12
-250.0,-2.5
-84.0,-0.84
58.0,0.58
-4.0,-0.04
-94.0,-0.94
86.0,0.86
-80.0,-0.8
-4.0,-0.04
-96.0,-0.96
42.0,0.42
4.0,0.04
178.0,1.78
96.0,0.96
82.0,0.82
-72.0,-0.72
2.0,0.02
4.0,0.04
-62.0,-0.62
-120.0,-1.2
98.0,0.98
-160.0,-1.6
46.0,0.46
-14.0,-0.14
-110.0,-1.1
106.0,1.06
0.0,0.0
8.0,0.08
84.0,0.84
-86.0,-0.86
14.0,0.14
-68.0,-0.68
-74.0,-0.74
64.0,0.64
-136.0,-1.36
-60.0,-0.6
-132.0,-1.32
10.0,0.1
216.0,2.16
34.0,0.34
16.0,0.16
-134.0,-1.34
-192.0,-1.92
-18.0,-0.18
-28.0,-0.28
136.0,1.36
32.0,0.32
-124.0,-1.24
-10.0,-0.1
110.0,1.1
-22.0,-0.22
-16.0,-0.16
-28.0,-0.28
-106.0,-1.06
20.0,0.2
-4.0,-0.04
-152.0,-1.52
72.0,0.72
30.0,0.3
-70.0,-0.7
-130.0,-1.3
-16.0,-0.16
-80.0,-0.8
-236.0,-2.36
-30.0,-0.3
-134.0,-1.34
92.0,0.92
-212.0,-2.12
-100.0,-1.0
48.0,0.48
-14.0,-0.14
-122.0,-1.22
44.0,0.44
-12.0,-0.12
-148.0,-1.48
90.0,0.9
-36.0,-0.36
-160.0,-1.6
-70.0,-0.7
-98.0,-0.98
24.0,0.24
72.0,0.72
-44.0,-0.44
-28.0,-0.28
60.0,0.6
66.0,0.66
-22.0,-0.22
6.0,0.06
-36.0,-0.36
-42.0,-0.42
34.0,0.34
18.0,0.18
60.0,0.6
-130.0,-1.3
-28.0,-0.28
-110.0,-1.1
102.0,1.02
-14.0,-0.14
116.0,1.16
70.0,0.7
-74.0,-0.74
68.0,0.68
-10.0,-0.1
118.0,1.18
-106.0,-1.06
-54.0,-0.54
8.0,0.08
118.0,1.18
66.0,0.66
-44.0,-0.44
-40.0,-0.4
-36.0,-0.36
-142.0,-1.42
22.0,0.22
178.0,1.78
-142.0,-1.42
6.0,0.06
-260.0,-2.6
-42.0,-0.42
-122.0,-1.22
-4.0,-0.04
70.0,0.7
-68.0,-0.68
-148.0,-1.48
-156.0,-1.56
-84.0,-0.84
6.0,0.06
2.0,0.02
158.0,1.58
62.0,0.62
-84.0,-0.84
-4.0,-0.04
-14.0,-0.14
-36.0,-0.36
-6.0,-0.06
-160.0,-1.6
26.0,0.26
-78.0,-0.78
98.0,0.98
-6.0,-0.06
66.0,0.66
-50.0,-0.5
-22.0,-0.22
110.0,1.1
4.0,0.04
38.0,0.38
-114.0,-1.14
-14.0,-0.14
84.0,0.84
-72.0,-0.72
-106.0,-1.06
-30.0,-0.3
-20.0,-0.2
48.0,0.48
-142.0,-1.42
18.0,0.18
86.0,0.86
-118.0,-1.18
-128.0,-1.28
-54.0,-0.54
-140.0,-1.4
16.0,0.16
-32.0,-0.32
80.0,0.8
-104.0,-1.04
78.0,0.78
108.0,1.08
-66.0,-0.66
10.0,0.1
-6.0,-0.06
32.0,0.32
88.0,0.88
50.0,0.5
134.0,1.34
-18.0,-0.18
-14.0,-0.14
-242.0,-2.42
116.0,1.16
-130.0,-1.3
108.0,1.08
82.0,0.82
58.0,0.58
152.0,1.52
-114.0,-1.14
50.0,0.5
-138.0,-1.38
94.0,0.94
72.0,0.72
174.0,1.74
218.0,2.18
52.0,0.52
94.0,0.94
76.0,0.76
136.0,1.36
-134.0,-1.34
-98.0,-0.98
-20.0,-0.2
50.0,0.5
-118.0,-1.18
2.0,0.02
12.0,0.12
58.0,0.58
102.0,1.02
4.0,0.04
-30.0,-0.3
-138.0,-1.38
8.0,0.08
-64.0,-0.64
172.0,1.72
-84.0,-0.84
2.0,0.02
-106.0,-1.06
-18.0,-0.18
68.0,0.68
-24.0,-0.24
102.0,1.02
80.0,0.8
82.0,0.82
8.0,0.08
138.0,1.38
-26.0,-0.26
104.0,1.04
56.0,0.56
-192.0,-1.92
82.0,0.82
20.0,0.2
108.0,1.08
108.0,1.08
-62.0,-0.62
-34.0,-0.34
-98.0,-0.98
-26.0,-0.26
-154.0,-1.54
-18.0,-0.18
12.0,0.12
-54.0,-0.54
-28.0,-0.28
-6.0,-0.06
-138.0,-1.38
-194.0,-1.94
254.0,2.54
112.0,1.12
148.0,1.48
-80.0,-0.8
146.0,1.46
212.0,2.12
-86.0,-0.86
22.0,0.22
26.0,0.26
-184.0,-1.84
-116.0,-1.16
16.0,0.16
92.0,0.92
62.0,0.62
26.0,0.26
144.0,1.44
-40.0,-0.4
64.0,0.64
-52.0,-0.52
54.0,0.54
-80.0,-0.8
-24.0,-0.24
30.0,0.3
58.0,0.58
104.0,1.04
-64.0,-0.64
8.0,0.08
-10.0,-0.1
66.0,0.66
-30.0,-0.3
-24.0,-0.24
2.0,0.02
52.0,0.52
106.0,1.06
18.0,0.18
-84.0,-0.84
-62.0,-0.62
0.0,0.0
86.0,0.86
-32.0,-0.32
74.0,0.74
82.0,0.82
-38.0,-0.38
-88.0,-0.88
-68.0,-0.68
12.0,0.12
92.0,0.92
-138.0,-1.38
