tempo,caminhada_1,caminhada_2,caminhada_3,caminhada_4,caminhada_5,caminhada_6,caminhada_7,caminhada_8,caminhada_9,caminhada_10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,0.0,0.0,0.0,2.0,2.0,0.0,-2.0,-2.0,-2.0,0.0
3,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-3.0,-3.0,-3.0,1.0
4,0.0,0.0,0.0,2.0,2.0,0.0,-2.0,-2.0,-2.0,2.0
5,1.0,1.0,1.0,3.0,3.0,1.0,-1.0,-1.0,-1.0,3.0
6,2.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,2.0
7,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,-1.0,1.0
8,0.0,2.0,2.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0
9,-1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0
10,-2.0,0.0,2.0,6.0,0.0,0.0,4.0,2.0,2.0,0.0
11,-1.0,-1.0,1.0,7.0,-1.0,-1.0,5.0,1.0,1.0,1.0
12,0.0,0.0,0.0,6.0,-2.0,0.0,6.0,0.0,0.0,0.0
13,1.0,-1.0,-1.0,7.0,-1.0,-1.0,5.0,1.0,1.0,-1.0
14,0.0,-2.0,0.0,8.0,-2.0,-2.0,4.0,2.0,2.0,-2.0
15,-1.0,-3.0,-1.0,7.0,-3.0,-3.0,3.0,1.0,1.0,-3.0
16,0.0,-2.0,0.0,6.0,-4.0,-4.0,4.0,2.0,2.0,-2.0
17,1.0,-3.0,1.0,7.0,-5.0,-3.0,5.0,1.0,3.0,-1.0
18,2.0,-2.0,2.0,8.0,-4.0,-2.0,6.0,2.0,4.0,0.0
19,3.0,-3.0,1.0,9.0,-3.0,-3.0,5.0,3.0,5.0,-1.0
20,4.0,-2.0,0.0,8.0,-4.0,-2.0,6.0,4.0,4.0,-2.0
