dt (s),tempo_final (s),erro_relativo
0.0010,175.4280,0.0000
0.0020,175.4280,0.0000
0.0030,175.4280,0.0000
0.0040,175.4280,0.0000
0.0050,175.4250,0.0000
0.0060,175.4280,0.0000
0.0070,175.4270,0.0000
0.0080,175.4240,0.0000
0.0090,175.4280,0.0000
0.0100,175.4300,0.0000
0.0110,175.4280,0.0000
0.0120,175.4280,0.0000
0.0130,175.4220,0.0000
0.0140,175.4200,0.0000
0.0150,175.4250,0.0000
0.0160,175.4240,0.0000
0.0170,175.4230,0.0000
0.0180,175.4280,0.0000
0.0190,175.4270,0.0000
0.0200,175.4200,0.0000
0.0210,175.4130,0.0001
0.0220,175.4280,0.0000
0.0230,175.4210,0.0000
0.0240,175.4160,0.0001
0.0250,175.4250,0.0000
0.0260,175.4220,0.0000
0.0270,175.4190,0.0001
0.0280,175.4200,0.0000
0.0290,175.4210,0.0000
0.0300,175.4100,0.0001
0.0310,175.4290,0.0000
0.0320,175.4240,0.0000
0.0330,175.4280,0.0000
0.0340,175.4060,0.0001
0.0350,175.4200,0.0000
0.0360,175.4280,0.0000
0.0370,175.4170,0.0001
0.0380,175.4080,0.0001
0.0390,175.4220,0.0000
0.0400,175.4000,0.0002
0.0410,175.3980,0.0002
0.0420,175.4340,0.0000
0.0430,175.3970,0.0002
0.0440,175.4280,0.0000
0.0450,175.4100,0.0001
0.0460,175.3980,0.0002
0.0470,175.4040,0.0001
0.0480,175.3920,0.0002
0.0490,175.4200,0.0000
0.0500,175.4000,0.0002
0.0510,175.3890,0.0002
0.0520,175.3960,0.0002
0.0530,175.4300,0.0000
0.0540,175.3920,0.0002
0.0550,175.3950,0.0002
0.0560,175.3920,0.0002
0.0570,175.3890,0.0002
0.0580,175.3920,0.0002
0.0590,175.4070,0.0001
0.0600,175.4400,0.0001
0.0610,175.4360,0.0000
0.0620,175.3980,0.0002
0.0630,175.3920,0.0002
0.0640,175.4240,0.0000
0.0650,175.4350,0.0000
0.0660,175.4280,0.0000
0.0670,175.4060,0.0001
0.0680,175.4400,0.0001
0.0690,175.3980,0.0002
0.0700,175.4200,0.0000
0.0710,175.4410,0.0001
0.0720,175.3920,0.0002
0.0730,175.4190,0.0001
0.0740,175.3800,0.0003
0.0750,175.4250,0.0000
0.0760,175.4080,0.0001
0.0770,175.4060,0.0001
0.0780,175.4220,0.0000
0.0790,175.3800,0.0003
0.0800,175.4400,0.0001
0.0810,175.3650,0.0004
0.0820,175.3980,0.0002
0.0830,175.3790,0.0003
0.0840,175.3920,0.0002
0.0850,175.4400,0.0001
0.0860,175.4400,0.0001
0.0870,175.3920,0.0002
0.0880,175.3840,0.0003
0.0890,175.4190,0.0001
0.0900,175.4100,0.0001
0.0910,175.3570,0.0004
0.0920,175.4440,0.0001
0.0930,175.3980,0.0002
0.0940,175.4040,0.0001
0.0950,175.3700,0.0003
0.0960,175.3920,0.0002
0.0970,175.3760,0.0003
0.0980,175.4200,0.0000
0.0990,175.4280,0.0000
0.1000,175.4000,0.0002
0.1010,175.4370,0.0000
0.1020,175.4400,0.0001
0.1030,175.4090,0.0001
0.1040,175.4480,0.0001
0.1050,175.3500,0.0004
0.1060,175.4300,0.0000
0.1070,175.3730,0.0003
0.1080,175.3920,0.0002
0.1090,175.3810,0.0003
0.1100,175.4500,0.0001
0.1110,175.3800,0.0003
0.1120,175.3920,0.0002
0.1130,175.3760,0.0003
0.1140,175.4460,0.0001
0.1150,175.3750,0.0003
0.1160,175.3920,0.0002
0.1170,175.3830,0.0003
0.1180,175.3480,0.0005
0.1190,175.4060,0.0001
0.1200,175.4400,0.0001
0.1210,175.4500,0.0001
0.1220,175.4360,0.0000
0.1230,175.3980,0.0002
0.1240,175.3360,0.0005
0.1250,175.3750,0.0003
0.1260,175.3920,0.0002
0.1270,175.3870,0.0002
0.1280,175.3600,0.0004
0.1290,175.4400,0.0001
0.1300,175.3700,0.0003
0.1310,175.4090,0.0001
0.1320,175.4280,0.0000
0.1330,175.4270,0.0000
0.1340,175.4060,0.0001
0.1350,175.3650,0.0004
0.1360,175.4400,0.0001
0.1370,175.3600,0.0004
0.1380,175.3980,0.0002
0.1390,175.4180,0.0001
0.1400,175.4200,0.0000
0.1410,175.4040,0.0001
0.1420,175.3700,0.0003
0.1430,175.3180,0.0006
0.1440,175.3920,0.0002
0.1450,175.4500,0.0001
0.1460,175.3460,0.0005
0.1470,175.3710,0.0003
0.1480,175.3800,0.0003
0.1490,175.3730,0.0003
0.1500,175.3500,0.0004
0.1510,175.3110,0.0007
0.1520,175.4080,0.0001
0.1530,175.3380,0.0005
0.1540,175.4060,0.0001
0.1550,175.3050,0.0007
0.1560,175.3440,0.0005
0.1570,175.3690,0.0003
0.1580,175.3800,0.0003
0.1590,175.3770,0.0003
0.1600,175.3600,0.0004
0.1610,175.3290,0.0006
0.1620,175.4460,0.0001
0.1630,175.3880,0.0002
0.1640,175.3160,0.0006
0.1650,175.3950,0.0002
0.1660,175.2960,0.0008
0.1670,175.3500,0.0004
0.1680,175.3920,0.0002
0.1690,175.4220,0.0000
0.1700,175.4400,0.0001
0.1710,175.4460,0.0001
0.1720,175.4400,0.0001
0.1730,175.4220,0.0000
0.1740,175.3920,0.0002
0.1750,175.3500,0.0004
0.1760,175.2960,0.0008
0.1770,175.4070,0.0001
0.1780,175.3300,0.0006
0.1790,175.4200,0.0000
0.1800,175.3200,0.0006
0.1810,175.3890,0.0002
0.1820,175.4480,0.0001
0.1830,175.3140,0.0007
0.1840,175.3520,0.0004
0.1850,175.3800,0.0003
0.1860,175.3980,0.0002
0.1870,175.4060,0.0001
0.1880,175.4040,0.0001
0.1890,175.3920,0.0002
0.1900,175.3700,0.0003
0.1910,175.3380,0.0005
0.1920,175.2960,0.0008
0.1930,175.4370,0.0000
0.1940,175.3760,0.0003
0.1950,175.3050,0.0007
0.1960,175.4200,0.0000
0.1970,175.3300,0.0006
0.1980,175.4280,0.0000
0.1990,175.3190,0.0006
0.2000,175.4000,0.0002
