tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
1.0000,9990.1900,-9.8100,-9.8100
2.0000,9970.5700,-19.6200,-9.8100
3.0000,9941.1401,-29.4299,-9.8099
4.0000,9901.9003,-39.2398,-9.8099
5.0000,9852.8507,-49.0497,-9.8099
6.0000,9793.9912,-58.8595,-9.8098
7.0000,9725.3219,-68.6693,-9.8098
8.0000,9646.8428,-78.4791,-9.8098
9.0000,9558.5540,-88.2888,-9.8097
10.0000,9460.4555,-98.0985,-9.8097
11.0000,9352.5473,-107.9082,-9.8097
12.0000,9234.8295,-117.7178,-9.8096
13.0000,9107.3021,-127.5274,-9.8096
14.0000,8969.9651,-137.3370,-9.8096
15.0000,8822.8186,-147.1465,-9.8095
16.0000,8665.8626,-156.9560,-9.8095
17.0000,8499.0972,-166.7655,-9.8095
18.0000,8322.5223,-176.5749,-9.8094
19.0000,8136.1379,-186.3843,-9.8094
20.0000,7939.9443,-196.1937,-9.8094
21.0000,7733.9413,-206.0030,-9.8093
22.0000,7518.1289,-215.8123,-9.8093
23.0000,7292.5074,-225.6216,-9.8093
24.0000,7057.0766,-235.4308,-9.8092
25.0000,6811.8365,-245.2400,-9.8092
26.0000,6556.7874,-255.0492,-9.8092
27.0000,6291.9290,-264.8583,-9.8091
28.0000,6017.2616,-274.6674,-9.8091
29.0000,5732.7851,-284.4765,-9.8091
30.0000,5438.4996,-294.2855,-9.8090
31.0000,5134.4051,-304.0945,-9.8090
32.0000,4820.5016,-313.9035,-9.8090
33.0000,4496.7892,-323.7124,-9.8089
34.0000,4163.2678,-333.5213,-9.8089
35.0000,3819.9376,-343.3302,-9.8089
36.0000,3466.7986,-353.1390,-9.8088
37.0000,3103.8508,-362.9478,-9.8088
38.0000,2731.0942,-372.7566,-9.8088
39.0000,2348.5288,-382.5653,-9.8087
40.0000,1956.1548,-392.3740,-9.8087
41.0000,1553.9721,-402.1827,-9.8087
42.0000,1141.9808,-411.9913,-9.8086
43.0000,720.1808,-421.7999,-9.8086
44.0000,288.5723,-431.6085,-9.8086
45.0000,0.0000,-441.4170,-9.8085
