tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
1.0000,9990.1900,-9.8100,-9.8100
2.0000,9970.8470,-19.3430,-9.5330
3.0000,9942.7712,-28.0759,-8.7329
4.0000,9907.1545,-35.6167,-7.5408
5.0000,9865.3796,-41.7749,-6.1582
6.0000,9818.8186,-46.5610,-4.7862
7.0000,9768.6885,-50.1301,-3.5691
8.0000,9715.9828,-52.7057,-2.5756
9.0000,9661.4639,-54.5189,-1.8131
10.0000,9605.6915,-55.7723,-1.2535
11.0000,9549.0637,-56.6278,-0.8555
12.0000,9491.8572,-57.2065,-0.5787
13.0000,9434.2616,-57.5956,-0.3890
14.0000,9376.4056,-57.8560,-0.2605
15.0000,9318.3757,-58.0299,-0.1739
16.0000,9260.2299,-58.1458,-0.1159
17.0000,9202.0069,-58.2229,-0.0771
18.0000,9143.7327,-58.2742,-0.0513
19.0000,9085.4243,-58.3083,-0.0341
20.0000,9027.0934,-58.3310,-0.0226
21.0000,8968.7473,-58.3460,-0.0150
22.0000,8910.3913,-58.3560,-0.0100
23.0000,8852.0287,-58.3626,-0.0066
24.0000,8793.6616,-58.3671,-0.0044
25.0000,8735.2916,-58.3700,-0.0029
26.0000,8676.9197,-58.3719,-0.0019
27.0000,8618.5465,-58.3732,-0.0013
28.0000,8560.1724,-58.3741,-0.0009
29.0000,8501.7978,-58.3746,-0.0006
30.0000,8443.4228,-58.3750,-0.0004
31.0000,8385.0475,-58.3753,-0.0003
32.0000,8326.6721,-58.3754,-0.0002
33.0000,8268.2966,-58.3755,-0.0001
34.0000,8209.9210,-58.3756,-0.0001
35.0000,8151.5453,-58.3757,-0.0000
36.0000,8093.1696,-58.3757,-0.0000
37.0000,8034.7939,-58.3757,-0.0000
38.0000,7976.4182,-58.3757,-0.0000
39.0000,7918.0424,-58.3757,-0.0000
40.0000,7859.6667,-58.3757,-0.0000
41.0000,7801.2909,-58.3757,-0.0000
42.0000,7742.9152,-58.3758,-0.0000
43.0000,7684.5394,-58.3758,-0.0000
44.0000,7626.1637,-58.3758,-0.0000
45.0000,7567.7879,-58.3758,-0.0000
46.0000,7509.4122,-58.3758,-0.0000
47.0000,7451.0364,-58.3758,-0.0000
48.0000,7392.6606,-58.3758,-0.0000
49.0000,7334.2849,-58.3758,-0.0000
50.0000,7275.9091,-58.3758,-0.0000
51.0000,7217.5334,-58.3758,-0.0000
52.0000,7159.1576,-58.3758,-0.0000
53.0000,7100.7819,-58.3758,-0.0000
54.0000,7042.4061,-58.3758,-0.0000
55.0000,6984.0303,-58.3758,-0.0000
56.0000,6925.6546,-58.3758,-0.0000
57.0000,6867.2788,-58.3758,-0.0000
58.0000,6808.9031,-58.3758,-0.0000
59.0000,6750.5273,-58.3758,-0.0000
60.0000,6692.1516,-58.3758,-0.0000
61.0000,6633.7758,-58.3758,-0.0000
62.0000,6575.4000,-58.3758,-0.0000
63.0000,6517.0243,-58.3758,-0.0000
64.0000,6458.6485,-58.3758,-0.0000
65.0000,6400.2728,-58.3758,-0.0000
66.0000,6341.8970,-58.3758,-0.0000
67.0000,6283.5213,-58.3758,-0.0000
68.0000,6225.1455,-58.3758,-0.0000
69.0000,6166.7697,-58.3758,-0.0000
70.0000,6108.3940,-58.3758,-0.0000
71.0000,6050.0182,-58.3758,-0.0000
72.0000,5991.6425,-58.3758,-0.0000
73.0000,5933.2667,-58.3758,-0.0000
74.0000,5874.8909,-58.3758,-0.0000
75.0000,5816.5152,-58.3758,-0.0000
76.0000,5758.1394,-58.3758,-0.0000
77.0000,5699.7637,-58.3758,-0.0000
78.0000,5641.3879,-58.3758,-0.0000
79.0000,5583.0122,-58.3758,-0.0000
80.0000,5524.6364,-58.3758,-0.0000
81.0000,5466.2606,-58.3758,-0.0000
82.0000,5407.8849,-58.3758,-0.0000
83.0000,5349.5091,-58.3758,-0.0000
84.0000,5291.1334,-58.3758,-0.0000
85.0000,5232.7576,-58.3758,-0.0000
86.0000,5174.3819,-58.3758,-0.0000
87.0000,5116.0061,-58.3758,-0.0000
88.0000,5057.6303,-58.3758,-0.0000
89.0000,4999.2546,-58.3758,-0.0000
90.0000,4940.8788,-58.3758,-0.0000
91.0000,4882.5031,-58.3758,-0.0000
92.0000,4824.1273,-58.3758,0.0000
93.0000,4765.7516,-58.3758,0.0000
94.0000,4707.3758,-58.3758,0.0000
95.0000,4649.0000,-58.3758,0.0000
96.0000,4590.6243,-58.3758,0.0000
97.0000,4532.2485,-58.3758,0.0000
98.0000,4473.8728,-58.3758,0.0000
99.0000,4415.4970,-58.3758,0.0000
100.0000,4357.1213,-58.3758,0.0000
101.0000,4298.7455,-58.3758,0.0000
102.0000,4240.3697,-58.3758,0.0000
103.0000,4181.9940,-58.3758,0.0000
104.0000,4123.6182,-58.3758,0.0000
105.0000,4065.2425,-58.3758,0.0000
106.0000,4006.8667,-58.3758,0.0000
107.0000,3948.4910,-58.3758,0.0000
108.0000,3890.1152,-58.3758,0.0000
109.0000,3831.7394,-58.3758,0.0000
110.0000,3773.3637,-58.3758,0.0000
111.0000,3714.9879,-58.3758,0.0000
112.0000,3656.6122,-58.3758,0.0000
113.0000,3598.2364,-58.3758,0.0000
114.0000,3539.8607,-58.3758,0.0000
115.0000,3481.4849,-58.3758,0.0000
116.0000,3423.1091,-58.3758,0.0000
117.0000,3364.7334,-58.3758,0.0000
118.0000,3306.3576,-58.3758,0.0000
119.0000,3247.9819,-58.3758,0.0000
120.0000,3189.6061,-58.3758,0.0000
121.0000,3131.2304,-58.3758,0.0000
122.0000,3072.8546,-58.3758,0.0000
123.0000,3014.4788,-58.3758,0.0000
124.0000,2956.1031,-58.3758,0.0000
125.0000,2897.7273,-58.3758,0.0000
126.0000,2839.3516,-58.3758,0.0000
127.0000,2780.9758,-58.3758,0.0000
128.0000,2722.6001,-58.3758,0.0000
129.0000,2664.2243,-58.3758,0.0000
130.0000,2605.8485,-58.3758,0.0000
131.0000,2547.4728,-58.3758,0.0000
132.0000,2489.0970,-58.3758,0.0000
133.0000,2430.7213,-58.3758,0.0000
134.0000,2372.3455,-58.3758,0.0000
135.0000,2313.9697,-58.3758,0.0000
136.0000,2255.5940,-58.3758,0.0000
137.0000,2197.2182,-58.3758,0.0000
138.0000,2138.8425,-58.3758,0.0000
139.0000,2080.4667,-58.3758,0.0000
140.0000,2022.0910,-58.3758,0.0000
141.0000,1963.7152,-58.3758,0.0000
142.0000,1905.3394,-58.3758,0.0000
143.0000,1846.9637,-58.3758,0.0000
144.0000,1788.5879,-58.3758,0.0000
145.0000,1730.2122,-58.3758,0.0000
146.0000,1671.8364,-58.3758,0.0000
147.0000,1613.4607,-58.3758,0.0000
148.0000,1555.0849,-58.3758,0.0000
149.0000,1496.7091,-58.3758,0.0000
150.0000,1438.3334,-58.3758,0.0000
151.0000,1379.9576,-58.3758,0.0000
152.0000,1321.5819,-58.3758,0.0000
153.0000,1263.2061,-58.3758,0.0000
154.0000,1204.8304,-58.3758,0.0000
155.0000,1146.4546,-58.3758,0.0000
156.0000,1088.0788,-58.3758,0.0000
157.0000,1029.7031,-58.3758,0.0000
158.0000,971.3273,-58.3758,0.0000
159.0000,912.9516,-58.3758,0.0000
160.0000,854.5758,-58.3758,0.0000
161.0000,796.2001,-58.3758,0.0000
162.0000,737.8243,-58.3758,0.0000
163.0000,679.4485,-58.3758,0.0000
164.0000,621.0728,-58.3758,0.0000
165.0000,562.6970,-58.3758,0.0000
166.0000,504.3213,-58.3758,0.0000
167.0000,445.9455,-58.3758,0.0000
168.0000,387.5698,-58.3758,0.0000
169.0000,329.1940,-58.3758,0.0000
170.0000,270.8182,-58.3758,0.0000
171.0000,212.4425,-58.3758,0.0000
172.0000,154.0667,-58.3758,0.0000
173.0000,95.6910,-58.3758,0.0000
174.0000,37.3152,-58.3758,0.0000
175.0000,0.0000,-58.3758,0.0000
