tempo,posicao,velocidade,aceleracao
0.0000,10000.0000,0.0000,-9.8100
0.0100,9999.9990,-0.0981,-9.8100
0.0200,9999.9971,-0.1962,-9.8100
0.0300,9999.9941,-0.2943,-9.8100
0.0400,9999.9902,-0.3924,-9.8100
0.0500,9999.9853,-0.4905,-9.8100
0.0600,9999.9794,-0.5886,-9.8100
0.0700,9999.9725,-0.6867,-9.8100
0.0800,9999.9647,-0.7848,-9.8100
0.0900,9999.9559,-0.8829,-9.8100
0.1000,9999.9460,-0.9810,-9.8100
0.1100,9999.9353,-1.0791,-9.8100
0.1200,9999.9235,-1.1772,-9.8100
0.1300,9999.9107,-1.2753,-9.8100
0.1400,9999.8970,-1.3734,-9.8100
0.1500,9999.8823,-1.4715,-9.8100
0.1600,9999.8666,-1.5696,-9.8100
0.1700,9999.8499,-1.6677,-9.8100
0.1800,9999.8322,-1.7658,-9.8100
0.1900,9999.8136,-1.8639,-9.8100
0.2000,9999.7940,-1.9620,-9.8100
0.2100,9999.7734,-2.0601,-9.8100
0.2200,9999.7518,-2.1582,-9.8100
0.2300,9999.7292,-2.2563,-9.8100
0.2400,9999.7057,-2.3544,-9.8100
0.2500,9999.6812,-2.4525,-9.8100
0.2600,9999.6557,-2.5506,-9.8100
0.2700,9999.6292,-2.6487,-9.8100
0.2800,9999.6017,-2.7468,-9.8100
0.2900,9999.5733,-2.8449,-9.8100
0.3000,9999.5438,-2.9430,-9.8100
0.3100,9999.5134,-3.0411,-9.8100
0.3200,9999.4820,-3.1392,-9.8100
0.3300,9999.4497,-3.2373,-9.8100
0.3400,9999.4163,-3.3354,-9.8100
0.3500,9999.3820,-3.4335,-9.8100
0.3600,9999.3467,-3.5316,-9.8100
0.3700,9999.3104,-3.6297,-9.8100
0.3800,9999.2731,-3.7278,-9.8100
0.3900,9999.2348,-3.8259,-9.8100
0.4000,9999.1956,-3.9240,-9.8100
0.4100,9999.1554,-4.0221,-9.8100
0.4200,9999.1142,-4.1202,-9.8100
0.4300,9999.0720,-4.2183,-9.8100
0.4400,9999.0288,-4.3164,-9.8100
0.4500,9998.9847,-4.4145,-9.8100
0.4600,9998.9395,-4.5126,-9.8100
0.4700,9998.8934,-4.6107,-9.8100
0.4800,9998.8463,-4.7088,-9.8100
0.4900,9998.7983,-4.8069,-9.8100
0.5000,9998.7492,-4.9050,-9.8100
0.5100,9998.6992,-5.0031,-9.8100
0.5200,9998.6482,-5.1012,-9.8100
0.5300,9998.5962,-5.1993,-9.8100
0.5400,9998.5432,-5.2974,-9.8100
0.5500,9998.4893,-5.3955,-9.8100
0.5600,9998.4343,-5.4936,-9.8100
0.5700,9998.3784,-5.5917,-9.8100
0.5800,9998.3215,-5.6898,-9.8100
0.5900,9998.2636,-5.7879,-9.8100
0.6000,9998.2048,-5.8860,-9.8100
0.6100,9998.1449,-5.9841,-9.8100
0.6200,9998.0841,-6.0822,-9.8100
0.6300,9998.0223,-6.1803,-9.8100
0.6400,9997.9595,-6.2784,-9.8100
0.6500,9997.8958,-6.3765,-9.8100
0.6600,9997.8310,-6.4746,-9.8100
0.6700,9997.7653,-6.5727,-9.8100
0.6800,9997.6986,-6.6708,-9.8100
0.6900,9997.6309,-6.7689,-9.8100
0.7000,9997.5622,-6.8670,-9.8100
0.7100,9997.4926,-6.9651,-9.8100
0.7200,9997.4219,-7.0632,-9.8100
0.7300,9997.3503,-7.1613,-9.8100
0.7400,9997.2777,-7.2594,-9.8100
0.7500,9997.2041,-7.3575,-9.8100
0.7600,9997.1296,-7.4556,-9.8100
0.7700,9997.0541,-7.5537,-9.8100
0.7800,9996.9775,-7.6518,-9.8100
0.7900,9996.9000,-7.7499,-9.8100
0.8000,9996.8216,-7.8480,-9.8100
0.8100,9996.7421,-7.9461,-9.8100
0.8200,9996.6617,-8.0442,-9.8100
0.8300,9996.5802,-8.1423,-9.8100
0.8400,9996.4978,-8.2404,-9.8100
0.8500,9996.4144,-8.3385,-9.8100
0.8600,9996.3301,-8.4366,-9.8100
0.8700,9996.2447,-8.5347,-9.8100
0.8800,9996.1584,-8.6328,-9.8100
0.8900,9996.0711,-8.7309,-9.8100
0.9000,9995.9828,-8.8290,-9.8100
0.9100,9995.8935,-8.9271,-9.8100
0.9200,9995.8033,-9.0252,-9.8100
0.9300,9995.7120,-9.1233,-9.8100
0.9400,9995.6198,-9.2214,-9.8100
0.9500,9995.5266,-9.3195,-9.8100
0.9600,9995.4325,-9.4176,-9.8100
0.9700,9995.3373,-9.5157,-9.8100
0.9800,9995.2412,-9.6138,-9.8100
0.9900,9995.1440,-9.7119,-9.8100
1.0000,9995.0459,-9.8100,-9.8100
1.0100,9994.9469,-9.9081,-9.8100
1.0200,9994.8468,-10.0062,-9.8100
1.0300,9994.7458,-10.1043,-9.8100
1.0400,9994.6437,-10.2024,-9.8100
1.0500,9994.5407,-10.3005,-9.8100
1.0600,9994.4367,-10.3986,-9.8100
1.0700,9994.3318,-10.4967,-9.8100
1.0800,9994.2258,-10.5948,-9.8100
1.0900,9994.1189,-10.6929,-9.8100
1.1000,9994.0110,-10.7910,-9.8100
1.1100,9993.9021,-10.8891,-9.8100
1.1200,9993.7922,-10.9872,-9.8100
1.1300,9993.6814,-11.0853,-9.8100
1.1400,9993.5695,-11.1834,-9.8100
1.1500,9993.4567,-11.2815,-9.8100
1.1600,9993.3429,-11.3796,-9.8100
1.1700,9993.2282,-11.4777,-9.8100
1.1800,9993.1124,-11.5758,-9.8100
1.1900,9992.9957,-11.6739,-9.8100
1.2000,9992.8779,-11.7720,-9.8100
1.2100,9992.7592,-11.8701,-9.8100
1.2200,9992.6396,-11.9682,-9.8100
1.2300,9992.5189,-12.0663,-9.8100
1.2400,9992.3972,-12.1644,-9.8100
1.2500,9992.2746,-12.2625,-9.8100
1.2600,9992.1510,-12.3606,-9.8100
1.2700,9992.0264,-12.4587,-9.8100
1.2800,9991.9009,-12.5568,-9.8100
1.2900,9991.7743,-12.6549,-9.8100
1.3000,9991.6468,-12.7530,-9.8100
1.3100,9991.5183,-12.8511,-9.8100
1.3200,9991.3888,-12.9492,-9.8100
1.3300,9991.2583,-13.0473,-9.8100
1.3400,9991.1269,-13.1454,-9.8100
1.3500,9990.9944,-13.2435,-9.8100
1.3600,9990.8610,-13.3416,-9.8100
1.3700,9990.7266,-13.4397,-9.8100
1.3800,9990.5912,-13.5378,-9.8100
1.3900,9990.4549,-13.6359,-9.8100
1.4000,9990.3175,-13.7340,-9.8100
1.4100,9990.1792,-13.8321,-9.8100
1.4200,9990.0399,-13.9302,-9.8100
1.4300,9989.8996,-14.0283,-9.8100
1.4400,9989.7584,-14.1264,-9.8100
1.4500,9989.6161,-14.2245,-9.8100
1.4600,9989.4729,-14.3226,-9.8100
1.4700,9989.3287,-14.4207,-9.8100
1.4800,9989.1835,-14.5188,-9.8100
1.4900,9989.0373,-14.6169,-9.8100
1.5000,9988.8902,-14.7150,-9.8100
1.5100,9988.7420,-14.8131,-9.8100
1.5200,9988.5929,-14.9112,-9.8100
1.5300,9988.4428,-15.0093,-9.8100
1.5400,9988.2918,-15.1074,-9.8100
1.5500,9988.1397,-15.2055,-9.8100
1.5600,9987.9867,-15.3036,-9.8100
1.5700,9987.8327,-15.4017,-9.8100
1.5800,9987.6777,-15.4998,-9.8100
1.5900,9987.5217,-15.5979,-9.8100
1.6000,9987.3647,-15.6960,-9.8100
1.6100,9987.2068,-15.7941,-9.8100
1.6200,9987.0479,-15.8922,-9.8100
1.6300,9986.8880,-15.9903,-9.8100
1.6400,9986.7271,-16.0884,-9.8100
1.6500,9986.5652,-16.1865,-9.8100
1.6600,9986.4024,-16.2846,-9.8100
1.6700,9986.2385,-16.3827,-9.8100
1.6800,9986.0737,-16.4808,-9.8100
1.6900,9985.9079,-16.5789,-9.8100
1.7000,9985.7412,-16.6770,-9.8100
1.7100,9985.5734,-16.7751,-9.8100
1.7200,9985.4047,-16.8732,-9.8100
1.7300,9985.2350,-16.9713,-9.8100
1.7400,9985.0643,-17.0694,-9.8100
1.7500,9984.8926,-17.1675,-9.8100
1.7600,9984.7199,-17.2656,-9.8100
1.7700,9984.5463,-17.3637,-9.8100
1.7800,9984.3717,-17.4618,-9.8100
1.7900,9984.1961,-17.5599,-9.8100
1.8000,9984.0195,-17.6580,-9.8100
1.8100,9983.8419,-17.7561,-9.8100
1.8200,9983.6634,-17.8542,-9.8100
1.8300,9983.4839,-17.9523,-9.8100
1.8400,9983.3034,-18.0504,-9.8100
1.8500,9983.1219,-18.1485,-9.8100
1.8600,9982.9394,-18.2466,-9.8100
1.8700,9982.7560,-18.3447,-9.8100
1.8800,9982.5716,-18.4428,-9.8100
1.8900,9982.3861,-18.5409,-9.8100
1.9000,9982.1998,-18.6390,-9.8100
1.9100,9982.0124,-18.7371,-9.8100
1.9200,9981.8240,-18.8352,-9.8100
1.9300,9981.6347,-18.9333,-9.8100
1.9400,9981.4444,-19.0314,-9.8100
1.9500,9981.2531,-19.1295,-9.8100
1.9600,9981.0608,-19.2276,-9.8100
1.9700,9980.8676,-19.3257,-9.8100
1.9800,9980.6733,-19.4238,-9.8100
1.9900,9980.4781,-19.5219,-9.8100
2.0000,9980.2819,-19.6200,-9.8100
2.0100,9980.0847,-19.7181,-9.8100
2.0200,9979.8866,-19.8162,-9.8100
